Q,A
불 날 뻔했어,조심하세요
결혼 결심한 계기가 있었어,내가 싫어하는 걸 아무것도 안해서요
쓰레기새끼,기분이 좀 풀렸길 바랍니다
썸타는데 갠톡 안하면,개인톡으로 답변을 안 하면 썸 타는 게 아닐 가능성이 높습니다
물배달 시켜야겠다,부지런하시네요
점점 나도 지쳐가네,지칠만 해요
이별 냉정해진다,성장에는 고통이 따르나봐요
너는 어디에 사니,성남시 분당구요
진짜 난 안 되나 보다 싶을 때 지금 회사에서 연락이 왔어요 ,그러셨군요 출근은 어떠셨나요
자면 안되는데 또 잤어,피곤했나봐요
김치볶음밥이나 만들어 먹어야지,맛있는 식사시간 되시길 바랄게요
안녕,안녕하시렵니까
내 생각을 하고는 있을까,궁금해하지마세요
짝사랑 시작하고 감정 기복이 심해,짝사랑이 그런건가봐요
친구가 필요해,진심으로 다가가면 친구가 될 수 있을 거예요
카풀로 출퇴근 해볼까,경제적으로 도움이 되겠네요
코코넛오일 맛없어,정글에서 먹어야 하나봐요
이번주 일요일날 만나기로 했어,마음의 준비를 하세요
권태기 ,이겨낼 수 있어요
휴가 가야지,푹 쉬고 오세요
서핑 출발,좋은 취미네요
집들이 해야겠지,하고 안하고는 집주인 마음이죠
년째 짝사랑 중인데 포기해야 할까,길었던 시간만큼 결정하기 힘들었겠어요
너는 남자야,저는 남자도 여자도 아니에요
내가 사랑할 자격이 있나,사랑자격증을 드립니다
언제쯤 저는 돈 걱정 없이 살 수 있을까요,마음이 힘드시겠어요 돈 걱정 없는 세상이 얼른 왔으면 좋겠어요
유부남 좋아하면 안되겠지,마음정리하세요
머리 하나도 안 남을 것 같아,탈모 관리 해보세요
그녀는 내가 좋아하는 것을 이용하는 거야,그렇다면 정말 나쁜 사람이네요
사랑의 힘은 진짜 위대한듯,사랑의 힘은 헐크보다 쎌거예요
면접이 코앞이야,잘 볼 수 있을 거예요
좋은 아침,안녕하세요
시골 내려가서 살까,아무래도 덜 경쟁하겠죠
남자친구한테 정 떨어진 거 같아,사랑하는 이유를 생각해보세요
쉬는날인데 왜 만나자고 안하지,직접 만나자고 연락해보세요
죽겠다 진짜,많이 힘들죠
잠시라도 좋으니 만낳 수 있을까,후회안할 자신 있다면 연락해보세요
잠수탄 사람,상대방에 대한 예의가 없네요
베터리 충전기도 안 가져 왔네,충전할 곳을 찾아보세요
점점 좋아져,이상형은 아니지만 호감가는 사람이 있어요
좋아하는 남자애 마음을 알다가도 모르겠어,사람은 모두 변덕스럽지요
남친이랑 대화가 잘 돼서 좋아,말 통하는 게 중요하죠
덤덤하게,시간이 흐르면 무덤덤해질 거예요
허리가 많이 아파서 잘 못 움직여요 ,정말 힘드셨겠어요 의사의 도움을 받아 보는 건 어떨까요
말도 안되는 이유로 결별 선언하는 그녀,진짜 이유를 말하지 못하는 사정이 있나봐요
결혼 준비중 일방적인 이별통보 살기 싫어져,현실이라는 벽에 부딪혔군요
년 다되가는 연애 끝,인연이 거기까지였나봐요
사귀고 나서 외모에 신경을 너무 안 써,격식 있는 자리에 같이 가보세요
전남친이 만나자고 합니다,재결합이 더 힘들지요
언제쯤 이 끈을 놓아야할까 지금일까,달라지지 않는다면 빠를수록 덜 힘들거예요
한달됐어,많이 힘들지 않길 바라요
오늘 날씨 말해줘,소나기 소식이 있어요
술 좋아하는 사람 싫은데 그 사람은 좋아,술보다 사람이 먼저니까요
오늘 배부르게 잘먹었어,식사 잘 하셨어요
머리 아파,시원한 바람 쉬고 약먹기
내가 쉬워보이나,그렇게 대우하는 사람 만나지 마요
클스마스에 할일,크리스마스에는 케빈과 함께
날씨 죽인다,나들이 가보세요
사업 시작해도 될까,확신이 있을 때 시작해보세요
자야겠다,안녕히 주무세요
뭐 좀 물어 봐도 돼,무엇이든 물어보세요
빨래했어,부지런하시네요
이별한지 오개월째,많은 시간이 흘렀네요
한숨만 나오네,많이 지쳤나봐요
여행지 추천,편하게 쉴 수 있는 곳이 좋을 거예요
지금 어디있어,판교 글로벌센터에 있어요
대리님은 갈구는게 취미인 듯,더 웃으면서 대해보세요
짝사랑한테 빼빼로 줘도 될까,용기를 내요
꽃다발 선물 괜찮지,센스있는 선물이에요
여자친구가 너무 어린거 같아,나이 차이는 극복할 수 있어요
아울렛 가서 쇼핑하고 옴,쇼핑은 아울렛이죠
할일 되게 많아,하나씩 하세요
가장 가까웠던 사람이 이제 가장 먼 사람이네,이게 가장 슬픈 일인 거 같아요
밤 샜어,건강에 안 좋아요
차 한 잔 하자고 해볼까,용기내서 말해보세요
영어 잘 했으면,매일 조금씩 해보세요
정말 힘드네,지금처럼 참지 말고 표출해보세요
한 병만 먹어야지 하다가도 술이 들어가면 또 한 병 더 먹고 그렇게 되는 거 같아,오늘 딱 하루만 참아보는 건 어떨까요
나는 좋은데 ,현실의 벽에 부딪혔나봐요
어디 산다더라 뭘 입는다더라 뭘 먹었다더라 무슨 머리를 했다더라 그런 거요,헉 그래서요 뒷 이야기가 궁금해요
남자친구가 되어줘,네 많은 이야기를 나눠봐요
난방비 비싼데 추워,따뜻하게 사세요
선생님 좋아해,선생님도 좋아할 거예요
무뎌진줄 알았는데,시간이 좀 걸리겠지만 해낼 수 있어요
방학은 너무 심심해,친구들과 연락해보세요
아무리 매달려도,돌아서지 않을 수 있어요
항상 붙어다니는 친구가 명 있거든,그렇군요 계속 이야기를 하다 보면 해결 방법이 보일 거예요
매주 수요일 그를 만날 수 있어,삶의 활력소가 되겠네요
고백도 못하겠어,고백도 용기가 필요해요
첫사랑은 안되는건가,의미 부여하지 마세요
기댈 수 있는 남자 만나고 싶어,서로 기댈 수 있었으면 더 좋을 것 같아요
이별 후 다른 이성 소개팅 후 후폭풍,더 생각이 나셨군요
수상한 느낌이 든다,해결될 거니 기다려보세요
내 여자하자,저라도 괜찮나요
덜 좋아하는 방법만 알면 힘들지 않을텐데,마음은 컨트롤할 수 있는 게 아니라 힘들겠어요
창문을 열어 놓고 나왔네,들어가서 닫으세요
내일은 좀 덜 바쁠까,그랬으면 좋겠습니다
파혼한거 정말 잘했다,쉽지 않은 결정이었겠지만 잘 하셨어요
대체 뭘해야 머릿속에서 지울수 있을까,너무 빨리 지우려고 하면 더 안 지워져요
아부 잘 하는 사람 부럽기도 해,적성에 맞는 사람이 있죠
불 날 뻔,조심하세요
연애할때 많이 사랑하면 나만 손해야,사랑은 따지는 게 아니고 다 주고도 더 주지 못해 미안해하는 거예요
길이 안보여,너무 낙담하지 마세요
스튜디오 촬영하는 날이야,예쁘게 찍고 오세요
시어머니될 사람이 진짜 이상해,아직이라면 더 살펴보세요
이러다 대머리 되겠어,탈모 관리 해보세요
오늘은 제 미련한 인생을 주절거려보렵니다,제가 다 들어드릴게요
카드값 갚느라 허리가 휘어,계획적이고 합리적인 소비를 해보세요
평소 다른 일을 할 때도 비슷해요 생각한대로 안되면 화가 나고그런 상황이 지속되면 폭발해버려요,화가 폭발할 것 같을 때는 그 자리를 피하는 것도 좋은 방법이라고 생각해요
이별은 역시나 힘드네,이별이 나를 잠식시키니까요
오늘따라 좀 피곤하다,휴식을 갖는건 어떠세요
그녀를 떠나 보냈습니다,맘이 편치 않겠어요
헤어진지 일째,하루 하루를 세는 건 자신을 더 힘들게 만들 뿐이에요
건물주 되고싶어,이룰 수 있을 거예요
썸인가 애매한 거 싫어,직접적이든 간접적이든 의사를 확실히 밝혀보세요
데려다 주지도 않고,많이 바쁜가봐요
이별이 있어야 인연도 있는거 같아,이별이 새로운 시작이 되기도 하니까요
대리운전 불렀어,잘했어요
이유라는게 뭔지,알다가도 모를
사랑만으로 안되는 게 많을까요,사랑이 전부는 아니에요
환승이별 달째를 앞둬도 힘들다,점점 더 괜찮아질 거예요
퇴근할게 수고했어,하루종일 수고 많으셨어요
옷장이 점점 줄어들어,지난 계절 옷을 잘 정리해 보세요
좋아하는 오빠랑 어떻게 친해질까,그분의 관심사에 대한 얘기가 좋겠어요
절친인데 쌩깠어,안녕이죠
로맨틱한 고백,생각만해도 달콤하네요
나 갖고 장난친건가,아니길 바라요
바람난 여자친구 사람 고쳐 쓰는거 아니네,사람 고쳐쓰는 거 아니에요
어느새 헤어진지 한달,짧진 않은 시간이에요
썸의 조건이 뭐야,자주 연락하고 가만히 있어도 생각나는 연락하면 괜히 웃음나는 사이 아닐까요
좋은 이별을 하려면 어떻게 해야 할까,좋은 이별은 없어요
짝사랑인 상대한테 고백했는데 짝남이 오해하게 해서 미안하대,세상에서 제일 슬픈 말이네요
야,왜
손톱 정리 좀 할까,기분전환을 해보세요
크리스마스엔 눈이 올까,눈이 오면 좋겠네요
아직도 좋아하는 사람이 있는데,많이 힘들겠어요
술 좀 그만 마셔야지,술은 적당히 즐기세요
나갔다가 들어왔더니 엄마가 뭐라는 줄 알아 ,그런 일이 있으셨군요 가족은 가까운 만큼 어려운 존재인 것 같아요
김동욱 노래 생각나네,가사가 비슷한가봐요
공책 필기 나만 힘들어,성향 차이가 좀 있기는 하죠
장거리 연애 괜찮을까,진정한 사랑에 거리가 중요한가요
운명 같은 사랑 가능할까,저는 있다고 믿어요
괜히 기다렸어,누군가를 기다린다는게 쉬운게 아니죠
이제 반년이란 시간이 흘렀는데,좀 나아졌길 기대합니다
내 마음 알면서도 모른척하는거면 어떡해,당신의 인연인 아닌가보다 생각하세요
좀 쉴게,네 쉬었다가 하세요
기회를 놓쳤어,더 좋은 기회가 올 거예요
쉬는 중입니다,휴식도 필요하죠
여친이 드디어 권태기가 온 거 같아,그런 시기가 있더라고요
나도 모르게 니 생각을 하고 있어,무의식이 진심을 말하죠
적금 더 들까,절약하면 할 수 있어요
이발 좀 하고 올게,예쁘게 깍고 오세요
살만해,누구나 한번쯤 시도해 볼 만하죠
학폭 없어졌으면,학교 폭력은 범죄에요
하아 다시 또 터진 눈물,마음놓고 우세요
다른 사람들에 비해 만남은 짧앗지만,깊은 사이였나요
나를 설레게하는사람,좋아하나봐요
너무 아플줄 알았는데 오히려 무덤덤하네,그렇게 잊어 가는 거예요
친구인데 고백해도 될까,솔직한 마음으로 다가가보세요
손에 잡히는 거 아무거나 잡아가지고 한바탕 난리를 부렸어,화나는 건 정말 참기 힘들죠 하지만 잠깐 멈춰서 상황을 돌아보는 건 어떨까요
지나가는 말이 가슴을 후벼파,상대방의 기분은 생각지도 않고 상처주는 사람들이 있네요
오 그거 좋다,감사합니다
인연은 소중한 거지,옷깃만 스쳐도 인연이죠
그나저나 웃기라고 해보죠,억지로라도 웃는 게 도움이 될 거예요
개강이라니,방학이 참 짧죠
이러다 병걸리겠어ㅠㅠ,아프면 안 돼요 그럼 제 마음이 아파요
사랑해서 헤어지는 게 말이 된다고 생각해,그 사람을 위하는 거라고 생각하면 가능하다고 생가해요
우리의 사랑은 끝났어,꺼진 사랑도 다시 보자 다시 타오를수도 있어요
많이슬퍼하고 그리워해야,이런 과정도 꼭 필요해요
다들 크든 작든 문제 하나씩은 갖고 살잖아요,그렇군요 조금씩 고쳐나갈 수 있을 거라고 생각해요
살 이유가 없어 ,저는 당신이 있어 행복한데 그런 당신도 행복했으면 좋겠어요
좋아해,고백하세요
그냥 다 포기하려구,포기 하지 마요
미친듯이 덥다,차가운 음료 너무 많이 마시면 아니 되어요
연애 세포 깨우는 법,하다보면 됩니다 걱정하지마세요
어젯밤 꿈을 꿨어,어떤 꿈이었나요
개학하니까 좋다,친구들이 보고싶었나봐요
독서 좀 해야겠어,좋은 생각이에요
어릴 때부터 옷 입는 게 불편하고 싫었어요,아 그러시군요 꺼끄러운 면이 닿으면 불편하죠
지금 미세먼지는 어때,마스크를 착용하시는게 좋을 것 같아요
사랑한다고 말해줘,많이 사랑해요
오늘도 너무 바빠,그래도 무리하지 마시고 힘내세요
난 많이 노력한 거 같은데,중요한 건 노력하는 과정이에요
사랑한다는 말 쉽게 안 나와,감정을 표현한다는게 어렵죠
면접 준비 방법,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요
좋아하는 사람 있는데 내가 좀 소심해,달라지긴 원한다면 할 수 있을 거예요
더워 죽겠다,사람 그렇게 쉽게 죽지 않아요
비오면 마중 나와 주는 사람 있어서 좋다,우산 같은 사람이네요
하루가 일년같아,시간이 더디게 흐르죠
년 동거 중인데 계속 좋아,서로 깊게 알게되면서 더 좋아졌나봅니다
도서관에서 괜찮은 사람 봤어,도서관도 다니시나봐요
좋아하는 남자 생겼는데 호감 어떻게 표시할까요,꾸준히 연락을 하는게 필요합니다
