유저,구분
그래서 짜증나서 아예 연습도 안 했어 짜증나서,감정/짜증
나가떨어지라 이거지,감정/부정적사고
이렇게 일찍 끝이 나는 게 허무하기도 한데,감정/허무함
그 전까지는 잠들면 내일이 기대가 됐는데 이젠 그런 게 없어,감정/공허감
그래서 그런지 모르겠는데 항상 미래에 대한 불안한 생각이 있었어,감정/불안감/미래
관자놀이를 꽉 조이는 느낌이에요,증상/두통
참다 참다가 도저히 안 되겠다 싶어서 한 소리 했더니 삐친거지,배경/타인/갈등
너무 불안하고 초조해서 잠이 올 생각을 안해,감정/불안감/초조함
내가 온갖 이유 다 만들어서 올렸는데 그게 반려됐어,부가설명
저희한테는 차갑고 다른 형제들 오면 어찌나 살가운지 서운하기도 하고 꼴보기 싫어요,감정/서운함
심내막염 진단 받고 바로 수술에 들어갔어요,배경/건강문제/수술
그리고 야근 하는 것 같지도 않은데 항상 늦게 와요,모호함
애써 생각은 안 하려고 하지만,감정/생각
제 의견에는 아무 관심도 없으셨죠 ,배경/부모/무관심
위염인 줄 알았는데 암이었다는 사람도 있었고 걱정이 되지,감정/걱정/암
이틀 전에 할머니 생신이셨는데 제가 차를 운전할 수가 없으니까 명 명으로 나눠져서 택시를 탔어요,배경/생활/불가능/운전
살이 좀 빠진 것 같다고 하더라,증상/체중감소
요즘 너무 불안해요 불안해서 미쳐버릴 것 같아요,감정/불안감
빚만 잔뜩 쌓였죠,배경/경제적문제
저도 모르게 숨을 거세게 들이쉬게 돼요,증상/호흡곤란
남자친구가 운동하면 괜찮을 거라고 해서 요가를 시작했는데,자가치료/운동
원래 잠자는 데 별 문제가 없었는데 오늘 아침에 일어났는데 숨을 잘 못 쉬겠는거야 ,증상/호흡곤란
제대로 정신 박힌 사람이 거의 없는것 같아,감정/불만
옆에서 누가 말도 거는 것 같고 분명 사람이 없는데,증상/환청
이게 약간 내 몸에 익숙해져서 나중에는 이 불안함이 디폴트가 되는 게 아닐까,감정/불안감
시골은 학교도 작고 환경이 별로 안 좋아요,배경/학교
내가 하도 안 먹어서 그런지 입맛이 너무 없어,증상/식욕저하
신랑이랑은 전혀 대화가 안 돼,배경/남편/소통불가
우울한 건 아직도 그래요 하루종일 우울해요,감정/우울감/증상지속
그 후부터 한 일은 입맛도 없고 잠도 못 잤어요,증상/식욕저하/불면
얼마 전부터는 폭식증상까지 생겼어요,증상/폭식
학교에 등록은 해놓고 학기는 거의 안 나갔어요,배경/학교/결석
나 좀 도와줄 수 있어요,일반대화
그때는 결혼만 하면 행복해질줄 알았죠 바보같이,배경/결혼
근데 얘 없는 동안 인터넷에서 만난 남자가 있어,배경/연애
근데 회사에 뭐 그렇게 큰일들이 있겠어요,모호함
자존감도 되게 낮구,감정/자존감저하
기가 막히고 어이가 없어서 말이 안 나오더라고,감정/분노
남편이 해주는 말이 아직도 안 믿겨,배경/남편
자존감이 바닥을 쳤어,감정/자존감저하
아빠는 내가 여자 맞냬,배경/부모/아버지
기타를 칠때도 있고 노래할 때도 있어,배경/생활
아침에 숨이 턱 막혀서 숨 쉬기가 어려웠어요,증상/호흡곤란
어머니는 며칠 그렇게 누워있다가 그대로 못 일어나셨어요 ,배경/부모/죽음
잠자리에 누워도 맨날 뒤척이고 잠을 제대로 잘 수 있을 리가 없지,증상/불면
신경이 거슬려서 벽에 걸려 있던 시계 건전지를 뽑아버렸어요,감정/신경쓰임
학교가 끝나서 집으로 왔는데 엄마가 안 보이는 거야,배경/부모
가둬놓고 먹을 것도 안 주고 죽을 때까지 팰 거야,감정/살인욕구
나는 새벽에 공부하는 편이라 항상 늦게까지 공부한단 말이야,배경/공부
저는 이런 세상이 싫어요,감정/부정적사고
조금만 안 좋은 일이 생겨도 다 누가 나를 모함해서 그런 것 같고,증상/피해망상
이러다 진짜 중독되겠다 했는데 그래도 멈출 수가 없었어요,배경/문제/알코올의존
다른 사람이랑 마실 때도 있었는데 혼자 마실 때가 많았어요,배경/문제/과음
선생님도 내 말 듣더니 그럼 정신과 가보시라고 해서,내원이유/의사소견
주변사람들한테 이런 얘기를 하면 너랑 상관없는 얘기를 뭘 그렇게 신경쓰냐고 이상하게 생각하더라고,감정/신경쓰임
이거 때문에 스트레스 받아서 잠도 한숨도 못 잤어요,증상/불면/스트레스
막 쿵쿵 거리는 게 가슴에서 목 위로 점점 머리 끝까지 올라오는 것 같아요,증상/두근거림
근데 그 때 같이 놀던 애들이 좀 질이 안 좋았어,배경/학교
항암 치료를 이어나가고 있긴 한데 기대는 크지 않아,배경/건강문제/항암
처음 의식을 차렸을 때 차에 치인지도 몰랐어요,배경/사고/교통사고
사회구조가 남자한테 좋지 않다고 생각해,감정/불만
수업 빠지면 뭐 아침에 내내 잠만 자는 거지,증상/과수면
고등학교 때 친하게 지냈던 친구한테 배신 당한 적이 있어,배경/친구/배신
휴교하는 동안 집에서 쉬느라 좋긴 좋았는데 한편으론 불안한 거야,감정/불안감
알바 끝나고 지하철을 탔는데 누가 자꾸 쳐다보는 것 같은 거예요,증상/피해망상
어딘가 아무도 안 오는 곳으로 숨어버리고 싶어,증상/은둔
내가 능력이 있는 것도 아니고우리 집이 잘 사는 것도 아닌데내가 괜히 욕심 부린게 아닌가 하는 생각이 들어요,감정/후회
저녁엔 두통이 심해서 못 자,증상/두통/불면
년 사이  늘었어,증상/체중증가
아 짜증나 ,감정/짜증
좀 많이 힘들었어요 한 월 쯤부터,감정/힘듦
이럴 거면 그냥 돌아가시는게 낫겠다는 나쁜 마음이 자꾸 들어요,감정/부정적사고
부족한 엄마를 만나서아이들까지 힘들어지는것 같아요,감정/미안함/자녀
남편이 엘리트예요 딱 엘리트 정석 코스를 밟은 사람이죠,배경/남편
새로운 신입사원이 들어왔는데 일을 못 하기도 하고 사고를 많이 쳐서 스트레스를 받았어요,배경/직장/스트레스
키고 크고 되게 시원시원하게 생긴 미남이었어요,배경/남자친구
그리고 그 이가 출장 갔다 오자마자 짐 챙겨서 쫓아냈는데,배경/남편
엄마 때문에 미칠 거 같아,배경/부모/갈등
티를 안 내려고 노력했는데 가슴이 철렁 한 거야,감정/충격
한 번 같이 술자리를 가진 다음에 급속도로 가까워졌어요,배경/연애
지는 원래 알던 애들 많으니까 괜찮겠지 난 힘들어 죽겠는데,감정/힘듦
근데 어떡해요 진짜 몸 자체가 안 움직여요,증상/무기력
예전보다 자주 마셔서인지 주량이 많이 늘었어,배경/음주/자주
근데 갑자기 그런 말을 들으니까 확 화가 나는 거야,감정/화
근데 아버지가 더 이상은 기다려 줄 수가 없다고 하시더라,배경/부모/갈등
이상이 있는 것 같아서 검사를 받아는데 이상이 없다고 해서 더 이상했어요,치료이력/검사/이상없음
그렇게 간 지 좀 됐는데 서로 연락은 해 근데 친하진 않아,배경/여자친구/관계소원
집에서 술을 잔뜩 마시고 홧김에 옥상에 올라갔어요,증상/자살시도
이젠 내가 내가 아닌 것 같아요,증상/이인감
역시 저한테 무슨 이상이 있는 거겠죠,배경/자각/정신질환
혈압은 분명 정상인 거 같은데 왜 그런지 모르겠으니까 답답해서 미치겠어요,감정/답답
그러다가 남편이 바람피우고 있다는걸 알게됐어,배경/남편/바람
항상 긴장을 하는 상태니까,감정/긴장
친구들한테도 연락하기 힘들어 ,배경/친구/관계소원
아무래도 저는 이런 상황에서 못 벗어날 것 같아요 평생 이러고 살겠죠,감정/절망감
기억력도 엄청 떨어진 것 같아요,증상/기억력저하
시간이 지체되면 화장실에 또 가고 싶어져요,배경/문제/불안감/소변
요즘엔 그렇게까지는 안 마시는데 한 년 전부터 기억력이 떨어져요,증상/기억력저하
그때는 그냥 얼떨떨했던 거 같아요 ,감정/멍함
근데 요즘엔 지하철이 아니라 그냥 자려고 누울 때도 그래요,배경/문제
병원 안가고 그냥 지냈는데 자연스럽게 괜찮아졌어요,현재상태/증상감소
한나절 청소하고 빨래하고 집안일을 다 하고 나면 할 일이 없어서 기분이 가라앉아,감정/기분저하
저도 제가 대단한 것 같아요,증상/과대망상
근데 부모님이 나한테 너도 어느 정도 잘못이 있대,배경/부모
심심할 때도 있는데 내가 먼저 연락하긴 싫어,증상/대인기피
잠이 잘 오는 방법 좀 가르쳐 주세요,증상/불면
막 더럽단 생각까지 들었어요 되게 불쾌하고,감정/불쾌감
근데 아주 좋은 아이템이 있다고 그걸 같이 하기로 했대,모호함
안 그래도 소심한 성격인데 요즘 더 심해진 것 같아요,배경/성격/소심
저 혼자 할 수 있을 것 같아요 잘 다스리고 있으니까요,자가치료/심리조절
같이 시간 날 때마다 놀러도 많이 다니고 되게 좋았어,감정/즐거움
선생님은 수술 잘됐다고 안심하라고 하는데 밤만 되면 나도 병이 재발하는 게 아닌가 싶고,감정/걱정/증상재발
제대로 취업준비를 해서 돈을 벌어야겠다고 생각했어요,배경/취업/준비
힘도 없고 피곤하고 인생이 지루해진 느낌이야,증상/무기력
마음을 가다듬고 고치려고 했는데 잘 안 돼요,자가치료/심리조절
아침에 눈뜨자마자 막막해요,감정/답답
심리학에 관심이 많아서 교양수업을 많이 들었거든요,배경/대학
잠에 빠지는 과정이 너무 힘들어,증상/불면
가만히 있을 땐 괜찮은데 눕기만 하면 쿡쿡 쑤시는 느낌이 들어서 괴로워,증상/통증
실제로 항상 재수가 없는 편이고,감정/부정적사고
나는 왜이렇게 당하고도 또 당하지,감정/자괴감
수술 끝나고 항암 치료 진행 중이에요,배경/건강문제/항암
배를 잡고 웃어본게 언제였나 싶어요,감정/무미건조
오빠가 그동안 돈 대느라 고생한 건 알지만 할아버지가 남긴 주택까지 팔고 하는 거 보니까 괜히 속상했어요 ,감정/속상함
잠깐 눈만 감았다 뜬 거 같은데 병원에 실려간 적이 있어,증상/기절
원래 잠이 많은 편이 아니고 잠 때문에 힘든 건 없어,배경/문제/불면
나가서 사람 만나는 게 싫어요,증상/대인기피
사람들이 잘 안 듣는 거 같으면 내 얘기의 요점을 자꾸 반복해서 말하게 돼,증상/반복행동/대화
발이 땅바닥에 제대로 안 붙어 있는 기분이었어요,감정/불안감
손가락 까딱하기도 싫어요,증상/무기력
몸을 잘 못 움직이니까 하루종일 굶었다가 저녁에 밥을 한꺼번에 먹게 돼,증상/폭식
그래서 남편이 되게 잘해주고 이것저것 많이 사다줬어요,배경/남편
근데 그게 내 탓이냐 그럼 지가 처신 좀 잘 하지 그랬어,배경/남자친구
그래서 나는 꼭 커서 미용사가 돼야지 했어요,배경/진로
친구랑 얘기할 때도 간단한 단어인데 갑자기 생각이 안나는거 있죠,증상/기억력저하
별 일 없어도 그냥 무슨 안 좋은 일이 생길 것 같고 그래요 ,감정/부정적사고
친구 따라서 낚시도 가봤는데 참을성이 없어서 한 마리도 못 잡았어,배경/성격/급함
또 수면에 도움이 되는 거 없을까요,증상/불면
좀 더 노력해서 꼭 법대에 들어가겠다 다짐했죠,배경/학업
그리고 식욕이 없어지고 식사량도 엄청 줄었어요,증상/식욕저하
년 전에 의류매장을 열었거든,배경/사업
제가 할 수 있는 일이 없는 것 같아요,증상/무기력
하내가 정말 어떻게 해야 하는건지 모르겠어,감정/곤혹감
백화점이나 극장처럼 사람들이 붐비는곳에 가면 땅이 흔들리는것 처럼 어지러워,감정/걱정/증상재발
고등학교 때부터 부모님은 제가 하는 일마다 반대를 했어요 ,배경/부모/갈등
밥은 원래 잘 안 먹었는데 요즘은 아예 안 먹어,증상/식욕저하
이것저것 막 집어 던지고 자는 엄마랑 저 끌고 나와서 막 때리고,배경/부모/아버지/폭력
나는 그냥 요즘 피곤했나 보다 하고 넘어가려고 했는데 점점 숨쉬기가 어려운 거야,증상/호흡곤란
나 요즘 정말 이상해,감정/심란
제가 고등학생 때 진짜 살이 갑자기 확 쪘거든요,증상/체중증가
만성피로로 아무것도 할 수 없어서 가정의학과에 진료를 보러 갔었어,증상/만성피로
년간 운동과 식이요법으로  뺐습니다 ,배경/건강문제/다이어트
아는 분 소개로 동대문 지하에서 옷 원단을 나르는 일을 했어요,배경/직장
나는 그때 이미 직장인이었고 남편은 아직 박사 과정 밟을 때 만났어,배경/남편
주로 자주 반복적으로 확인하는 버릇이 있거든요 실수 안 하려구요,증상/반복행동/확인
